T12	T13	T21	T23	T31	T32	area.F
date_str20130616	-0.044053496147559	-0.00925663468709877	-0.222691192844371	-0.836082523004872	-0.221174732032445	-0.725697546959561	-0.169466994490882
date_str20130617	-0.496603274213164	-0.580890132572306	0.0248760913818819	-0.542822989469499	-0.0887889750901255	-0.61800178446902	-0.27747886540959
date_str20130618	-0.284644491059897	-0.417953481328383	0.319598322504363	0.37624626237099	0.131255941618276	0.181883162590804	-0.686325221615046
date_str20130619	-0.324076003439609	-0.56521961744329	0.380407076833094	-0.3649992932618	0.254381022054808	-0.37668356077999	-0.285179659894987
date_str20130620	0.151533218005438	-0.11762146437827	0.268825155105662	-0.224257960512629	0.109470728465473	-0.222530264796974	-0.534462091715258
date_str20130621	-0.163175088377979	-0.180894704789096	0.145178038350632	-0.138245723776714	0.1602217204162	-0.389965314016298	-0.340795158763298
date_str20130622	-0.341875862778792	-0.248468762696205	-0.00021421731430104	-0.486832535383023	-0.0443555683597244	-0.886934484252505	-0.561184135085266
date_str20130623	-0.291408396144384	-0.496670504480392	0.428809451879668	-0.408675392195377	0.239664250127779	-0.722822504436708	-0.775767678969666
date_str20130624	-0.49790557520325	-0.930248008677154	0.456344929306489	-0.0673526902479057	0.270029106561771	-0.0581863420852695	-0.663977365390388
date_str20130626	0.0395376083546095	0.0934808691463904	0.0114892079452155	0.0891351860069777	-0.0976479939579715	-0.459882857264351	-0.613100400141833
date_str20130627	-0.852265382067629	-1.04976214344553	0.181028085741806	-0.948957226146307	0.228479092153817	-1.00028991705089	-0.808967650881228
date_str20130629	0.284306502555605	0.135799320467146	0.346370486998299	-0.2865743561393	0.327134560336984	-0.311526880286767	-0.974635374947922
date_str20130630	0.256961317587872	0.137597166733479	0.223120816255092	0.231592280846529	0.0792739471753663	0.162200848621097	-0.234363419378978
date_str20130701	-0.530614835781217	-0.760142733098007	0.545872926813376	0.701135154432382	0.175546115384468	0.699382283272905	-0.907442976573016
date_str20130702	-0.278329557074172	-0.535991621681342	0.418014927457576	0.22537117570431	0.126962609266114	0.178367171670259	-0.66069347579353
date_str20130703	-0.135227876439074	-0.243517445558762	0.314595839885922	0.181023498057366	0.164580633369012	-0.0899163678626238	-0.618888579144006
date_str20130704	-0.190768314807213	-0.225475105538614	0.328619904722303	0.0573452977516582	0.270941775307494	-0.306963413037722	-0.788734303842618
date_str20130705	0.314062079507588	0.142842348485473	0.235990257659707	-0.586368958980955	0.315902472192404	-0.754075965921122	-0.952548166017885
date_str20130706	0.235621783707514	-0.0250223767934797	0.428803169098271	-0.411857339208502	0.140823779205496	-0.519869164814277	-0.597599696592655
date_str20130707	-0.153441877936259	-0.309535515101166	0.389159645700821	0.0635552367964922	0.233074597872563	-0.128994393042044	-0.741045314085601
date_str20130708	-0.823463797498446	-0.631335313722005	0.489161437610141	0.544753424810796	0.00992128149494459	-0.539322394273061	-1.2197404834962
date_str20130709	0.153910663675775	0.339295914430478	0.117808345700053	-0.481988192717692	0.0966116957625888	-0.931368814039275	-0.406172581630338
date_str20130731	-0.0577800911441652	0.0922600932805122	0.0764007188235363	-0.280663824851502	-0.16872049445796	-0.777272535808015	-0.524360175540827
date_str20130801	0.172634372587174	0.0182382707048408	0.0868729923808917	0.0372944491229838	-0.039572725791919	-0.0434682768630959	-0.42801339987553
date_str20130802	0.132731217530173	-0.192783304208403	0.365079029794023	-0.723394884673433	0.0275392317400542	-0.817531066891517	-0.139895275899474
date_str20130803	-0.0438231292619001	-0.522737307369558	0.170423353074684	0.126865471705325	0.124889710217989	0.0472957799038918	-0.561198412423074
date_str20130804	-0.106634254437698	-0.0767700156822614	0.00129080267694492	-0.383442991233713	-0.137905394162687	-0.988246005103481	-0.831478246280221
date_str20130805	0.337932733363106	0.239624470647925	0.0829764298768515	-0.614268689356901	0.00427464010328854	-0.762059035017906	-0.935053206545846
date_str20130806	-0.0119557618263429	-0.102490852349291	0.122993964894385	0.191202620641816	-0.0200977312663657	-0.0575059865654395	-0.677179886099653
date_str20130807	0.249230538233708	0.102640984537753	0.160902091109358	-0.151467273641734	0.0171415530975125	-0.238414468461309	-0.957818445765768
date_str20130808	-0.137921487832777	-0.195258150856744	-0.116498687206035	-0.157192811734096	-0.214851177892075	-0.402595025353971	-0.334796117020145
date_str20130809	-0.237833501998866	-0.707641561147133	0.275675670968502	-0.0276656003486309	-0.0204277590118635	0.096482928101315	-0.822555143919666
date_str20130810	-0.499606842684561	-0.316766257988828	0.258723429363875	0.0693190137796855	-0.036775141387377	-0.456337661818706	-0.650458605709549
date_str20130811	0.572671784011718	0.201237511946816	-0.0587193951019166	-0.419637303837979	-0.0890247358126184	-0.142355719897237	-0.609051371035557
date_str20130812	-0.13172011956278	-0.158174413505609	0.144876421607581	0.638752898513387	-0.122919924185054	0.139900829057952	-0.413344549855589
date_str20130813	0.0305008430722337	-0.294241699601668	-0.0922964677685891	-0.794954220190631	-0.103950693151671	-0.740882396690422	-0.378896753374954
date_str20130814	-0.0257094488627622	-0.0854135226901193	0.184717866340851	-0.391261138248036	0.0336240326056455	-0.6648675934222	-0.687992616046645
date_str20130815	0.220176292439214	0.192696086140733	-0.405013297290999	-0.187499758915376	-0.344551652809469	-0.452615974249363	-0.913671840137668
date_str20130816	-0.366929759329445	-0.361088050134099	0.266359813612797	-0.0545762632058963	-0.102641877912462	-0.5797916945901	-0.412588675879663
date_str20130817	0.566045249256709	0.416191297222132	0.108223392492287	0.0743772427796992	-0.0207121505645326	0.0301286065138331	-0.733847832455984
date_str20130818	0.047130570517331	-0.0150475638868415	0.0662942497442006	-0.138785218359827	-0.0342641959819913	-0.368468065322016	-0.492870295039891
date_str20130819	-0.177584636983182	-0.478640752211814	0.304386582287959	-0.0959786346462273	-0.0304757668328339	-0.200723696830739	-0.530915079434029
date_str20130820	-0.347350200898458	-0.477646717219211	0.330546927905004	0.307558253735151	-0.0448185070433931	-0.0939849896542025	-0.927842746947831
date_str20130821	0.0554992203872747	-0.10285579258559	0.198730908825625	0.0402949063299376	0.0899750131332713	-0.133444332502276	-0.673902148934679
date_str20130822	-0.0385457706680394	-0.16587492055197	0.653067495866097	0.665519447275645	0.468055753402488	0.489798905955234	-1.3694670961299
date_str20130823	0.524670603132269	0.00513941537650566	0.273612326918903	-0.233582498662378	0.162086380049747	0.0485811401533672	-1.01583407403111
date_str20130824	-0.353945306275298	-0.466402664356289	0.196055657125866	0.267564890428927	0.159690014097717	0.127396229737929	-0.760579737672414
date_str20130825	-0.599827373697215	-0.738663678564139	0.296823796439721	0.137989454558745	0.0980107208928538	-0.127167884325	-0.0697761939436259
date_str20130826	-0.0639706154706648	-0.314859222351285	-0.296087708628444	-0.587497066556294	-0.309953528730137	-0.612003162996173	-0.228712873486795
date_str20130827	0.498484153833056	0.623393444742421	0.179987550911866	-0.11268776718351	0.0600230004905526	-0.438511778213245	-0.394068500232065
date_str20130828	-0.642211529051402	-1.04272949709779	0.499652600476828	1.3440880536529	-0.029280160775518	1.48008465389395	-1.22855822175458
date_str20140104	-0.0689041816722529	-0.363688997859537	-0.0422134229650677	-0.0107214929598976	0.000647424847846181	0.226124017998773	-0.805260827933069
date_str20140105	0.625602194145998	0.791585190444922	-0.0630059282604078	-0.190641362363365	-0.113843291107335	-0.500579488163161	0.0581695248024108
date_str20140106	NA	NA	NA	NA	NA	NA	NA
env_labelNGM:populationGA150	-0.264564415241948	-0.340515608414476	0.129249767413109	0.0151768437164225	0.0191461928891596	0.0572937079315265	0.41780278087192
env_labelNGM:populationGA250	-0.240335188662167	-0.186294550973015	0.159053715637931	0.056209367334619	0.0338598986775181	-0.0496421333233342	0.52880336047295
env_labelNGM:populationGA450	-0.153486909896146	-0.233269866213597	0.148654757896537	0.127672595933442	-0.00157449800668242	0.163269575398643	0.488199186262006
temperature:rel_humidity	0.027033733373403	0.00557398070269886	0.00455911434438101	0.054676720345514	0.0116794120706656	0.066049193890281	-0.0763091925058446
temperature:logD	-0.00107573851274142	-0.0453624688592573	0.0463933320905037	0.053326768823255	0.0194155605109231	0.134657179262819	0.0196313402634018
rel_humidity:logD	-0.00880852750132435	-0.0034153684244755	0.0226577589315159	-0.0212393112022072	0.0105589574727038	-0.0176377676429354	0.00471380038765154
temperature:rel_humidity:logD	0.00830271568112382	0.0277102194350723	-0.00529132591811391	-0.0932200548899943	-0.00606579263183068	-0.0987568218271307	0.0173880168462758
