"","gmax","g2","g3","g4","g5","g6","g7"
"Eigenvalues",0.121,0.069,0.04,0.023,0.014,0.007,0.004
"HPD lower",0.078,0.041,0.026,0.015,0.008,0.005,0.003
"HPD upper",0.22,0.118,0.064,0.038,0.021,0.011,0.006
"Proportion",0.435,0.248,0.144,0.083,0.05,0.025,0.014
"T12",-0.27,0.113,-0.509,-0.351,0.228,0.688,0.08
"T13",-0.32,0.293,0.022,-0.694,0.14,-0.556,-0.015
"T21",0.142,-0.201,-0.057,0.112,0.82,-0.11,-0.488
"T23",0.585,0.489,0.469,-0.247,0.194,0.293,0.118
"T31",0.091,-0.185,-0.12,0.101,0.399,-0.203,0.856
"T32",0.527,0.33,-0.708,0.065,-0.156,-0.276,-0.084
"area.F",-0.419,0.692,0.031,0.554,0.185,-0.038,0.037
