"","gmax","g2","g3","g4","g5","g6","g7"
"Eigenvalues",0.314,0.097,0.052,0.032,0.016,0.011,0.005
"HPD lower",0.174,0.053,0.03,0.02,0.011,0.007,0.003
"HPD upper",0.577,0.219,0.089,0.046,0.025,0.017,0.008
"Proportion",0.596,0.184,0.099,0.061,0.03,0.021,0.009
"T12",-0.038,-0.144,0.72,-0.14,0.44,0.493,-0.061
"T13",0.021,-0.227,0.634,0.307,-0.461,-0.485,0.061
"T21",-0.005,0.248,0.036,0.158,-0.572,0.503,-0.576
"T23",0.619,-0.233,-0.138,0.677,0.194,0.207,0.06
"T31",-0.072,0.201,0.041,0.043,-0.348,0.416,0.811
"T32",0.565,-0.442,-0.043,-0.615,-0.312,0.084,0.017
"area.F",-0.539,-0.759,-0.236,0.148,-0.102,0.213,-0.009
