"","gmax","g2","g3","g4","g5","g6","g7"
"Eigenvalues",0.263,0.084,0.043,0.029,0.016,0.012,0.006
"HPD lower",0.153,0.048,0.029,0.018,0.011,0.007,0.004
"HPD upper",0.526,0.165,0.074,0.044,0.025,0.016,0.009
"Proportion",0.581,0.185,0.095,0.064,0.035,0.026,0.013
"T12",-0.453,0.368,0.166,0.037,0.782,0.027,-0.134
"T13",-0.4,0.453,-0.525,-0.464,-0.306,0.21,0.08
"T21",0.193,-0.164,0.13,-0.2,0.077,0.858,-0.371
"T23",0.593,0.452,-0.475,0.389,0.22,0.124,0.064
"T31",0.069,-0.097,0.142,-0.173,0.21,0.275,0.903
"T32",0.355,0.59,0.592,-0.348,-0.183,-0.139,-0.039
"area.F",-0.34,0.267,0.289,0.663,-0.404,0.33,0.13
