exper_data_id	pop_label	data_group_name	date_str	time_str	logD	data_id	exper_duration_s	trackL	n_tracks	mean_nb_tracks	temperature	rel_humidity	location_label	env_label	T12	T13	T21	T23	T31	T32	mean_still	mean_forward	mean_backward	area.F
B201-20180323_095046_proc	N2250L546	B201	20180323	95046	2.94318313568984	N2250L546_NGM_B201	1295.893	1039.28571428571	1094	877.370717666174	23.7	25	Paris2	NGM	-2.69241402015169	-3.06070731197787	-0.0267977014707817	-3.37931167894791	0.23919902735436	-2.7453494462403	1.18747204019387	-1.433519412127	-3.14824583319159	0.0431239020935961
B201-20180323_101436_proc	PB250L482	B201	20180323	101436	2.95771102883588	PB250L482_NGM_B201	1296.068	268.819047619048	4374	907.216684838847	23.8	25	Paris2	NGM	-1.00295559995527	-2.46766181884522	-1.46461645498566	-6.10809045040155	-0.212442675332976	-3.20429202398893	-1.12414666758713	0.983466655573837	-3.58601236996516	0.0447329717719396
B201-20180323_104228_proc	N2250L544	B201	20180323	104228	2.99365716815634	N2250L544_NGM_B201	1149.702	662.979946524064	1709	985.50122432563	23.9	26	Paris2	NGM	-1.7580892136857	-2.48746977012824	-0.380746893366402	-4.86282931455649	0.0434769363035962	-3.75604890539731	0.441784383749403	-0.667927278251214	-2.89593744517079	0.0514982555685815
B201-20180323_110222_proc	N2250L574	B201	20180323	110222	2.98126115893947	N2250L574_NGM_B201	1199.912	638.821305841924	1799	957.769844129921	23.9	26	Paris2	NGM	-1.83023149725728	-2.58357088395729	-0.494608687777759	-4.81259563284301	0.058642495808536	-3.36155832664572	0.296329609564124	-0.489847371131838	-3.02011300906992	0.049734002348643
B201-20180323_112528_proc	N2250L551	B201	20180323	112528	2.84817414210042	N2250L551_NGM_B201	1213.532	549.460861056751	1557	704.975691341771	24	27	Paris2	NGM	-1.87704140597485	-2.65494179542472	-0.784776892681814	-3.38481810682511	-0.11140730160972	-1.88001704749411	0.210851550409294	-0.407831607210635	-2.98628420923889	0.0508668806156406
B201-20180323_120651_proc	PB250L457	B201	20180323	120651	3.06694191269616	PB250L457_NGM_B201	1198.474	220.050986050986	6354	1166.65356559088	24.2	28	Paris2	NGM	-1.00041917330623	-1.95349383917384	-1.47866420281659	-5.60972878379751	-0.0301114167617891	-2.78532846363011	-1.13818185741631	0.946052992746866	-3.25843524577424	0.0551697986820428
B201-20180323_130708_proc	N2250L565	B201	20180323	130708	3.00575317201273	N2250L565_NGM_B201	1295.624	623.410035842294	2106	1013.33530058402	24.4	29	Paris2	NGM	-1.9127792377798	-2.61019711455923	-0.83681116435087	-4.52615186858592	-0.333333561592718	-2.94273680918993	0.165741750946464	-0.405217445893806	-2.77663858463215	0.0545790986922141
B201-20180323_133640_proc	N2250L573	B201	20180323	133640	3.20505866532669	N2250L573_NGM_B201	1299.395	733.89590443686	2839	1603.46197476229	24.5	29	Paris2	NGM	-2.22161859693264	-2.60053262138275	-0.619820044151068	-3.89836504085781	-0.195377481896517	-2.75909552023352	0.555991106553094	-0.860988837364723	-2.62824242165998	0.0493612897130861
B201-20180323_140321_proc	PBancL0	B201	20180323	140321	3.21140630105986	PBancL0_NGM_B201	1297.325	241.59767610748	8737	1627.07023772074	24.5	30	Paris2	NGM	-0.863373146314505	-1.83314911299032	-1.57208950715712	-4.92861745495449	-0.33758665854405	-1.9249563936354	-1.2760483206718	1.02529538865834	-3.03719414823188	0.0580836196644461
B201-20180323_142909_proc	PB250L426	B201	20180323	142909	2.98202040624824	PB250L426_NGM_B201	1297.696	391.039215686275	3184	959.44571205051	24.5	30	Paris2	NGM	-1.43656966749678	-2.01701955628513	-0.966454897241841	-4.09380914807969	-0.187375227413291	-1.98266769464314	-0.413476036656086	0.121739881074279	-2.56351694935001	0.0526328165224446
B201-20180323_152503_proc	N2250L536	B201	20180323	152503	3.20481389885437	N2250L536_NGM_B201	1296.207	568.019572953737	3657	1602.55852521381	24.3	29	Paris2	NGM	-2.17536445805989	-2.8110455338584	-0.935793530923225	-4.17083117563957	-0.471060066572954	-2.69681681466902	0.34681952263266	-0.636549529467935	-2.61582369247253	0.054360923578199
B201-20180323_155335_proc	N2ancL0	B201	20180323	155335	3.06275904308886	N2ancL0_NGM_B201	1296.978	327.853958143767	4571	1155.4709815241	24.7	31	Paris2	NGM	-1.32729350759913	-2.46891745035718	-1.21907625587891	-4.82085983394145	-0.367854993375022	-2.38636564055222	-0.611063046517301	0.432388201399617	-3.13367287000442	0.0496228614025883
B201-20180323_162838_proc	N2250L575	B201	20180323	162838	2.95565544867087	N2250L575_NGM_B201	1297.125	558.253937007874	2098	902.932839813063	24.8	32	Paris2	NGM	-1.61280846016303	-2.25464593688595	-0.51848205832569	-4.01495996869287	0.0176352987336474	-2.60163696041728	0.103467556976519	-0.340093545195456	-2.78082111590426	0.0440498711569579
B201-20180323_165951_proc	PB250L476	B201	20180323	165951	3.08884627451436	PB250L476_NGM_B201	1297.318	228.086468001954	6979	1227.00483627425	25	32	Paris2	NGM	-0.857161999583613	-2.00716371752188	-1.62710814045458	-5.20901936668115	-0.20814503608279	-2.26425584249156	-1.27895085721686	1.08967981888147	-3.34833553302538	0.06291879825694
B202-20180326_095102_proc	N2250L543	B202	20180326	95102	3.27481361725313	N2250L543_NGM_B202	1228.877	468.186936936937	4942	1882.8408720664	29.3	23	Paris2	NGM	-2.0045408460888	-2.46433625407785	-1.28976054482299	-3.98390627935938	-0.609287420353456	-2.07990795128084	-0.200914071877268	-0.153700911928565	-2.333205306422	0.052889665585975
B202-20180326_101200_proc	N2250L542	B202	20180326	101200	3.18602323019794	N2250L542_NGM_B202	1198.106	580.591147786947	3167	1534.69907090129	28.8	24	Paris2	NGM	-1.80033728475163	-2.45032214362034	-0.759972764610055	-4.30598371102594	-0.305231252439529	-2.41625243535748	0.155761335152048	-0.424035736653133	-2.6565448216045	0.0462901950912524
B202-20180326_103238_proc	PBancL0	B202	20180326	103238	3.01121401983477	PBancL0_NGM_B202	1295.668	305.294930875576	4355	1026.15749093374	28.4	25	Paris2	NGM	-1.1157841921731	-2.04148562526424	-1.31332596166472	-4.98557464657507	-0.00854625579114799	-2.12735700134617	-0.983950522335689	0.799479418828956	-3.23065523590034	0.0506731231481481
B202-20180326_105446_proc	N2250L572	B202	20180326	105446	3.0968010545765	N2250L572_NGM_B202	1296.665	346.244584837545	4680	1249.68643176126	28.2	26	Paris2	NGM	-1.52519926355118	-2.40279929511166	-1.64924476834383	-5.03371378605297	-0.398690208456839	-2.61624754684133	-0.955298802527133	0.758666760380884	-3.14938906807303	0.0518781509262623
B202-20180326_115158_proc	N2ancL0	B202	20180326	115158	3.01223548365137	N2ancL0_NGM_B202	1227.759	754.385194479297	1674	1028.57386144866	27.8	26	Paris2	NGM	-1.80844773608956	-2.35743642791076	-0.445030625924165	-4.28642611481699	-0.0723643434664857	-2.98989167714969	0.395953343531459	-0.696084040420473	-2.59278884996954	0.0477266739010989
B202-20180326_121305_proc	PB250L462	B202	20180326	121305	3.10809790521043	PB250L462_NGM_B202	1297.809	188.98676056338	8808	1282.61969753812	27.4	23	Paris2	NGM	-0.768773836400232	-1.70703704284807	-2.15556880490486	-5.9668493427165	-0.296506618148545	-1.75867868806657	-2.01640280696533	1.79910679119365	-3.68560138380569	0.0566588871718488
B202-20180326_123827_proc	PB250L458	B202	20180326	123827	3.14077554042293	PB250L458_NGM_B202	1297.841	192.174896049896	9339	1382.85148505093	27.1	24	Paris2	NGM	-0.909451737847027	-1.8556450995088	-2.25852551393785	-5.55930036899764	-0.344294448835219	-1.87110918009934	-2.02087277184739	1.80668619999357	-3.70496780459145	0.0532145002148505
B202-20180326_130823_proc	PB250L448	B202	20180326	130823	3.25934290119898	PB250L448_NGM_B202	1297.761	148.589478941235	15869	1816.9496858963	26.9	22	Paris2	NGM	-0.726960723018391	-1.70336211687418	-2.460608889289	-5.65348222166425	-0.626148069376619	-1.521121803713	-2.364184095761	2.1155345729546	-3.81080736968379	0.0533024543894767
B202-20180326_134915_proc	PB250L475	B202	20180326	134915	3.1506067863985	PB250L475_NGM_B202	1223.488	214.53316680544	8067	1414.51248939056	26.8	22	Paris2	NGM	-1.28780669003442	-2.13345838427862	-2.52774581783529	-5.76403245863488	-0.711103206368157	-3.48673778972207	-1.93700542698805	1.65947798836193	-3.35123112400223	0.0437186529066465
B202-20180326_141027_proc	N2250L545	B202	20180326	141027	2.79711198935782	N2250L545_NGM_B202	1293.909	846.545321637427	958	626.775467307712	26.8	22	Paris2	NGM	-1.56220370779072	-2.73461556274287	-0.176610994461768	-4.60205858849794	0.0186376142791215	-3.06170215291212	0.606034616048188	-0.789289733206912	-3.16143440303737	0.0450522040389972
B202-20180326_143359_proc	PB250L423	B202	20180326	143359	3.08298740781544	PB250L423_NGM_B202	1199.248	183.211168164313	7924	1210.5630332792	26.9	22	Paris2	NGM	-0.911114147459858	-1.76339516577143	-2.05736698006736	-5.44423383427003	-0.245727593419782	-1.96687590579285	-1.80574541623584	1.59317868652751	-3.55511655294825	0.0583281449275362
B202-20180326_145439_proc	PB250L414	B202	20180326	145439	3.28557761080636	PB250L414_NGM_B202	1297.897	146.726311150286	17073	1930.09022308307	26.7	23	Paris2	NGM	-0.789828668796455	-1.56541150899062	-2.18626122025115	-5.09968224455246	-0.585415317152841	-1.30615799952052	-2.0859758220981	1.80223402677941	-3.43855716098368	0.0614816218433641
B202-20180326_163544_proc	PB250L488	B202	20180326	163544	3.16441925019483	PB250L488_NGM_B202	1297.373	184.482829847663	10269	1460.22322008062	26.2	23	Paris2	NGM	-1.15592097650576	-2.2340769306817	-2.24683935058036	-5.38755802102007	-0.396959450133886	-2.0524131622661	-1.83314407276618	1.64250243338732	-3.69433797371634	0.0549140981955856
B203-20180330_105917_proc	N2250L514	B203	20180330	105917	3.0847066254259	N2250L514_NGM_B203	1243.584	252.195581546459	5993	1215.3647202022	24.9	30	Paris2	NGM	-1.41587773578316	-2.3642210326059	-1.87856370070215	-6.19714469119898	-0.48040588745056	-3.56553436931649	-1.23568681731232	1.04496340708969	-3.31660870478749	0.0593453313569682
B203-20180330_112104_proc	PB250L425	B203	20180330	112104	3.39466883443605	PB250L425_NGM_B203	1201.226	101.37858559154	29400	2481.24034643878	25	30	Paris2	NGM	-1.01472018305046	-2.31565336330516	-3.02170043981018	-5.05197662224912	-1.33806932495033	-0.518646569709196	-3.44160019945386	3.16043102163909	-4.62985821909577	0.0621118538230702
B203-20180330_114152_proc	N2250L503	B203	20180330	114152	3.21304533095751	N2250L503_NGM_B203	1296.633	212.940178571429	9945	1633.22241211882	25.2	30	Paris2	NGM	-1.22615529695899	-1.74086370783037	-1.96005579330884	-3.92756808526697	-0.771228798673138	-1.32141145952828	-1.577565776346	1.1181767369045	-2.50929494973223	0.0487373327707454
B203-20180330_131930_proc	PB250L479	B203	20180330	131930	3.32804129020029	PB250L479_NGM_B203	1297.673	132.821542383684	20794	2128.34138671786	25.2	30	Paris2	NGM	-0.862384320026079	-1.97478362094476	-2.80265764614854	-5.09429707478998	-1.10234559400013	-2.00620408375922	-2.73770218351724	2.32691812960289	-3.54227347776313	0.0532843083814803
B203-20180330_134151_proc	N2250L593	B203	20180330	134151	3.43299839535101	N2250L593_NGM_B203	1274.242	129.196679592826	26730	2710.1816181826	25.2	29	Paris2	NGM	-0.570408328441495	-1.99735243428944	-2.94867727834282	-5.22526118125467	-1.57156104986696	-1.78680306947199	-3.1340650577437	2.63327306442521	-3.65117495098945	0.053026610802905
B203-20180330_140355_proc	PBancL0	B203	20180330	140355	3.2503389329717	PBancL0_NGM_B203	1296.823	170.162507090187	13563	1779.6677601062	25.3	29	Paris2	NGM	-1.18480772304364	-2.00344105276855	-1.91773666840954	-3.83046333590666	-0.863963189917067	-1.00781547328874	-1.42610153437735	1.12313514622267	-2.90873650998325	0.050625801861544
B203-20180330_150835_proc	N2250L508	B203	20180330	150835	2.65335134633452	N2250L508_NGM_B203	1214.8	423.57457846952	1291	450.143876197029	25.3	30	Paris2	NGM	-1.31608869110486	-2.26262605175979	-1.24991506145418	-6.36327706884151	-0.112408859616794	-4.66662113180047	-0.570393947991332	0.378520531845696	-3.04721533194496	0.0485250688745604
B203-20180330_152932_proc	N2250L585	B203	20180330	152932	3.09037845607903	N2250L585_NGM_B203	1296.079	393.858745537991	4052	1231.3413278974	25.3	30	Paris2	NGM	-1.57042558260487	-2.08871001569157	-1.21448329972609	-5.34193754609309	-0.490453189594419	-3.40637330798269	-0.537137200331743	0.172773526812415	-2.33755640598573	0.0599661586042823
B203-20180330_155155_proc	PB250L442	B203	20180330	155155	2.25670184277037	PB250L442_NGM_B203	1194.304	641.914893617021	336	180.593386822215	25.4	29	Paris2	NGM	0.00533718025099577	-2.26986104075183	-0.412726184351426	-6.59519792105343	-0.0434318198721912	-4.26628957914637	-0.700186929243038	0.567470086794948	-3.47438154369577	0.0404473326848249
B203-20180330_161229_proc	N2ancL0	B203	20180330	161229	3.18488366515184	N2ancL0_NGM_B203	1296.551	254.403447175231	7801	1530.67738285187	25.5	29	Paris2	NGM	-1.43449237016886	-2.274353597826	-1.3578618895851	-4.37979060815564	-0.690049791278812	-1.82317648426762	-0.698042585143074	0.414925642215755	-2.65820199326823	0.0496229440305288
B203-20180330_165705_proc	N2250L555	B203	20180330	165705	3.18623359802493	N2250L555_NGM_B203	1296.416	205.340665383558	9694	1535.44264358679	25.5	29	Paris2	NGM	-1.35431173586756	-2.08707342561335	-1.68793279882401	-5.24846504857081	-0.650004419751903	-2.64812780741904	-1.09276167544575	0.794794794653134	-2.75080029072776	0.0626264886196168
B204-20180402_101347_proc	PB250L461	B204	20180402	101347	3.04731931931471	PB250L461_NGM_B204	1198.071	178.155207624234	7499	1115.11413094394	25.4	25	Paris2	NGM	-0.682137133780304	-1.40714236089488	-1.72049567033574	-5.1248324096313	-0.394465265122673	-1.98683631474212	-1.78123032210444	1.42370759172905	-2.94591938850266	0.0695211007405794
B204-20180402_103410_proc	PB250L446	B204	20180402	103410	3.2450999257404	PB250L446_NGM_B204	1200.048	150.13007213706	14055	1758.32813677985	25	24	Paris2	NGM	-0.84930091775227	-1.56327679547437	-2.12279908890621	-4.60002409773599	-0.692572936284299	-1.61978235529598	-2.05732962386044	1.6668468859938	-3.04275789457886	0.0606903591895558
B204-20180402_105449_proc	N2250L582	B204	20180402	105449	2.87492478916514	N2250L582_NGM_B204	1196.848	536.694956949569	1672	749.764354387257	24.7	24	Paris2	NGM	-1.5972413005447	-2.37146222320905	-0.758136849534953	-5.96830473980792	-0.0455000695102196	-4.37223134138849	-0.202109550412094	0.0111966060275974	-2.99710196306688	0.0469264431216931
B204-20180402_111515_proc	PB250L470	B204	20180402	111515	2.98790413505339	PB250L470_NGM_B204	1199.802	201.319266689727	5796	972.532525978167	24.4	25	Paris2	NGM	-0.691305246718094	-1.79490635318334	-1.9724797681128	-6.34197839579712	-0.370324382860852	-3.42028835052865	-1.8291177961475	1.58220820176962	-3.40499985352198	0.0546399833704253
B204-20180402_113556_proc	PB250L435	B204	20180402	113556	2.99139210953319	PB250L435_NGM_B204	1297.654	276.562433297759	4600	980.37473253247	24.6	25	Paris2	NGM	-1.0040223627475	-1.73582136797474	-1.25472851563884	-4.49404334512366	-0.425758744389235	-2.48240645574112	-1.12678828762212	0.716189670900834	-2.39599907051266	0.0700750992310509
B204-20180402_115813_proc	N2250L554	B204	20180402	115813	2.95250976521201	N2250L554_NGM_B204	1197.326	268.930742401594	3991	896.416341852397	24.4	25	Paris2	NGM	-1.0011742917213	-2.1942928537459	-1.33474399029129	-4.09716672435743	-0.309396596480936	-1.68798083052623	-0.946055012484417	0.71873824143505	-2.98753891520182	0.0579039343434343
B204-20180402_121846_proc	N2250L552	B204	20180402	121846	3.08926263699258	N2250L552_NGM_B204	1197.416	257.781677301732	5705	1228.18174219017	24.4	25	Paris2	NGM	-0.934327949057917	-1.46702971035298	-1.56362748469984	-4.33909063920718	-0.608867773362163	-2.30280184590595	-1.37809572437596	0.839492803452396	-2.19360086342727	0.0628232572715776
B204-20180402_123919_proc	N2250L516	B204	20180402	123919	3.19530375068832	N2250L516_NGM_B204	1197.27	467.763888888889	4013	1567.84725760364	24.2	25	Paris2	NGM	-2.01008071661568	-2.45745991269482	-1.18905287732484	-4.3304608623623	-0.587334318368882	-2.7964877275646	-0.0745235177002358	-0.282858214242545	-2.32752238214583	0.046358863379397
B204-20180402_130000_proc	PBancL0	B204	20180402	130000	3.04891124861111	PBancL0_NGM_B204	1196.619	214.557341124909	6242	1119.20914117332	24.3	25	Paris2	NGM	-1.21817063886748	-2.06281184973553	-1.38140698301858	-4.69766220034547	-0.426722954956736	-2.01826375530488	-1.06187435524738	0.805344804379215	-2.90449207728847	0.0511561796363226
B204-20180402_132028_proc	N2250L567	B204	20180402	132028	2.98982240781319	N2250L567_NGM_B204	1198.089	408.780471821756	2863	976.837689708935	24.4	25	Paris2	NGM	-1.32891723531633	-2.11221335367591	-0.86182650617947	-5.14635316420472	-0.252009053435579	-3.36787877790333	-0.250220231339404	-0.0572406189459713	-2.49035708164863	0.0473901765667575
B204-20180402_134119_proc	PB250L451	B204	20180402	134119	2.77996760767884	PB250L451_NGM_B204	1205.318	273.118370484243	2659	602.514645195377	24.4	25	Paris2	NGM	-0.909187405082454	-1.43757765695482	-1.05713662982516	-4.74245335604012	-0.0475769304779638	-2.93272791275379	-0.947319671146812	0.568167000808871	-2.41235095376558	0.044256963882283
B204-20180402_140157_proc	N2ancL0	B204	20180402	140157	2.911980343902	N2ancL0_NGM_B204	1297.146	211.962901208837	4997	816.545413808899	24.6	26	Paris2	NGM	-0.925580624438168	-1.91603981572141	-1.35696153908136	-5.29606885015843	-0.0435140623119278	-2.53188966245616	-1.17494268444735	0.976304169080514	-3.24068653858708	0.0556071385274985
B205-20180604_100026_proc	PB250L453	B205	20180604	100026	2.68034480941826	PB250L453_NGM_B205	1265.506	305.847804878049	1982	479.010253027874	28.2	45	Paris2	NGM	-0.989653094358288	-1.53560854018021	-1.43005417342014	-5.07012992743691	0.226280671474715	-2.46727061369532	-1.31359365365733	1.07201542298584	-3.09935476089705	0.0448309912414318
B205-20180604_102203_proc	N2250L529	B205	20180604	102203	3.21084876259534	N2250L529_NGM_B205	1211.04	156.382640144665	12584	1624.98277809195	28	46	Paris2	NGM	-1.58887708644216	-2.21871953085042	-2.33679335644786	-4.27042032006049	-0.819911966336804	-1.45055088602902	-1.58133786241674	1.30609787163245	-3.11397534553447	0.059673291207684
B205-20180604_110345_proc	PB250L472	B205	20180604	110345	2.70724060055012	PB250L472_NGM_B205	1232.331	222.85736196319	2818	509.613120186273	28.2	47	Paris2	NGM	-0.935889559548482	-1.76571887852094	-2.13891647430071	-5.43585428716554	-0.0425364847358004	-2.25759628698445	-1.94824452384791	1.73738355244197	-3.66764439173427	0.0489129781582054
B205-20180604_112442_proc	PBancL0	B205	20180604	112442	2.61823462537449	PBancL0_NGM_B205	1298.422	290.764084507042	1854	415.178280001461	28.4	46	Paris2	NGM	-1.1457114777592	-1.73884855331805	-1.11240493181626	-3.98061249390532	0.220277288018818	-1.67946335524586	-0.899522882262311	0.682687684528923	-3.02039060134401	0.0488039625
B205-20180604_115002_proc	N2250L513	B205	20180604	115002	3.13489973155142	N2250L513_NGM_B205	1297.129	234.730301842415	7539	1364.26812259225	28.4	46	Paris2	NGM	-1.506892329472	-1.76428639508346	-1.54313207260089	-3.55655154552486	-0.79608324270166	-1.71953283577728	-0.896965074709351	0.389099359447673	-2.04795128917151	0.0644851957572503
